Animal ID,Name_Intake,DateTime_Intake,MonthYear_Intake,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Name_Outcome,DateTime_Outcome,MonthYear_Outcome,Date of Birth,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,Color_Outcome,binary_outcome
A760524,Tucker,11/15/2017 06:58:00 PM,11/15/2017 06:58:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,4 years,Labrador Retriever Mix,Black/Black,Tucker,12/27/2017 03:27:00 PM,12/27/2017 03:27:00 PM,10/19/2013,Dog,Neutered Male,4 years,Labrador Retriever Mix,Black/Black,0.0
A749339,Gunner,05/13/2017 03:43:00 PM,05/13/2017 03:43:00 PM,825 E Rundberg in Austin (TX),Stray,Injured,Dog,Neutered Male,5 years,Labrador Retriever Mix,Yellow,Gunner,05/14/2017 02:52:00 PM,05/14/2017 02:52:00 PM,05/14/2012,Dog,Neutered Male,5 years,Labrador Retriever Mix,Yellow,0.0
A733538,*Davis,08/23/2016 05:16:00 PM,08/23/2016 05:16:00 PM,9816 Bundoran in Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 year,Domestic Shorthair Mix,Cream Tabby/White,*Davis,10/05/2016 01:33:00 PM,10/05/2016 01:33:00 PM,08/23/2015,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Cream Tabby/White,0.0
A680770,,06/07/2014 03:02:00 PM,06/07/2014 03:02:00 PM,Krebs Ln & Fort Mcgruder in Austin (TX),Stray,Injured,Dog,Unknown,2 days,Dachshund Mix,Tan,,06/07/2014 05:16:00 PM,06/07/2014 05:16:00 PM,06/05/2014,Dog,Unknown,2 days,Dachshund Mix,Tan,0.0
A771947,Sugar,05/12/2018 01:35:00 PM,05/12/2018 01:35:00 PM,11141 North Interstate 35 in Austin (TX),Stray,Sick,Cat,Spayed Female,9 years,Domestic Shorthair Mix,Blue/White,Sugar,03/23/2019 04:21:00 PM,03/23/2019 04:21:00 PM,11/12/2008,Cat,Spayed Female,10 years,Domestic Shorthair Mix,Blue/White,0.0
A710639,,08/25/2015 01:57:00 PM,08/25/2015 01:57:00 PM,1610 Thornridge Rd in Austin (TX),Stray,Normal,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Black,,08/26/2015 09:00:00 AM,08/26/2015 09:00:00 AM,08/25/2007,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Black,0.0
A806264,,10/08/2019 07:51:00 AM,10/08/2019 07:51:00 AM,400 Deep Eddy in Austin (TX),Wildlife,Sick,Other,Unknown,2 years,Opossum,Gray,,10/08/2019 12:19:00 PM,10/08/2019 12:19:00 PM,10/08/2017,Other,Unknown,2 years,Opossum,Gray,1.0
A691855,Chuck,11/12/2014 07:05:00 PM,11/12/2014 07:05:00 PM,Wells Branch in Pflugerville (TX),Stray,Normal,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White,Chuck,11/16/2014 03:22:00 PM,11/16/2014 03:22:00 PM,11/10/2013,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White,0.0
A807921,,11/01/2019 11:11:00 AM,11/01/2019 11:11:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,3 months,Domestic Shorthair,Blue/White,,11/15/2019 04:51:00 PM,11/15/2019 04:51:00 PM,08/01/2019,Cat,Spayed Female,3 months,Domestic Shorthair,Blue/White,0.0
A691725,,11/08/2014 01:02:00 PM,11/08/2014 01:02:00 PM,1129 Penion Drive in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black,,11/08/2014 03:37:00 PM,11/08/2014 03:37:00 PM,10/17/2014,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black,0.0
A772479,*Courtney,05/20/2018 11:48:00 AM,05/20/2018 11:48:00 AM,2450 Wickersham Lane in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby,*Courtney,08/19/2018 01:35:00 PM,08/19/2018 01:35:00 PM,03/20/2018,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Brown Tabby,0.0
A706808,,07/03/2015 03:41:00 PM,07/03/2015 03:41:00 PM,Montopolis And Riverside in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby,,07/27/2015 01:38:00 PM,07/27/2015 01:38:00 PM,06/11/2015,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby,1.0
A787200,Polo,01/09/2019 02:16:00 PM,01/09/2019 02:16:00 PM,2701 East Highway 71 in Travis (TX),Stray,Normal,Dog,Intact Male,1 month,Labrador Retriever Mix,Cream,Polo,01/13/2019 01:44:00 PM,01/13/2019 01:44:00 PM,11/09/2018,Dog,Intact Male,2 months,Labrador Retriever Mix,Cream,0.0
A705102,,06/13/2015 11:30:00 AM,06/13/2015 11:30:00 AM,9010 Georgian Dr in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico,,06/14/2015 09:00:00 AM,06/14/2015 09:00:00 AM,06/13/2014,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico,0.0
A722352,Zombie,03/31/2016 06:13:00 PM,03/31/2016 06:13:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,7 months,Labrador Retriever Mix,Black/White,Zombie,04/02/2016 06:13:00 PM,04/02/2016 06:13:00 PM,08/15/2015,Dog,Spayed Female,7 months,Labrador Retriever Mix,Black/White,0.0
A806239,,10/07/2019 03:17:00 PM,10/07/2019 03:17:00 PM,21946 Briarcliff in Travis (TX),Wildlife,Injured,Other,Unknown,2 years,Skunk,Black,,10/07/2019 10:31:00 AM,10/07/2019 10:31:00 AM,10/07/2017,Other,Unknown,2 years,Skunk,Black,1.0
A757425,Burger,09/02/2017 01:03:00 PM,09/02/2017 01:03:00 PM,Outside Jurisdiction,Public Assist,Normal,Dog,Neutered Male,2 years,Chinese Sharpei Mix,Tan,Burger,09/15/2017 02:20:00 PM,09/15/2017 02:20:00 PM,09/02/2015,Dog,Neutered Male,2 years,Chinese Sharpei Mix,Tan,0.0
A723213,,03/28/2016 02:15:00 PM,03/28/2016 02:15:00 PM,301 W Howard in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat Mix,Brown,,03/28/2016 03:25:00 PM,03/28/2016 03:25:00 PM,03/28/2015,Other,Unknown,1 year,Bat Mix,Brown,1.0
A788943,Luna,02/12/2019 11:36:00 AM,02/12/2019 11:36:00 AM,Springdale Road And Airport Boulevard in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,Pit Bull Mix,White/Blue,Luna,02/17/2019 03:30:00 PM,02/17/2019 03:30:00 PM,09/12/2018,Dog,Spayed Female,5 months,Pit Bull Mix,White/Blue,0.0
A800994,Paco,07/29/2019 05:29:00 PM,07/29/2019 05:29:00 PM,Woodsworth Drive And Keats Drive in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Labrador Retriever,Black,Paco,08/31/2019 06:40:00 PM,08/31/2019 06:40:00 PM,07/29/2017,Dog,Neutered Male,2 years,Labrador Retriever,Black,0.0
A667048,Rex,04/18/2017 11:14:00 AM,04/18/2017 11:14:00 AM,Austin (TX),Owner Surrender,Sick,Dog,Neutered Male,8 years,Pit Bull Mix,Brown Brindle/White,Rex,04/18/2017 04:00:00 PM,04/18/2017 04:00:00 PM,07/18/2008,Dog,Neutered Male,8 years,Pit Bull Mix,Brown Brindle/White,0.0
A749690,Johnny,05/18/2017 12:21:00 PM,05/18/2017 12:21:00 PM,Pflugerville (TX),Owner Surrender,Normal,Cat,Neutered Male,6 years,Domestic Shorthair Mix,Brown Tabby/White,Johnny,05/22/2017 06:13:00 PM,05/22/2017 06:13:00 PM,05/18/2011,Cat,Neutered Male,6 years,Domestic Shorthair Mix,Brown Tabby/White,0.0
A774615,*Francis,06/18/2018 11:00:00 AM,06/18/2018 11:00:00 AM,900 West 23Rd Street in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Blue Tabby/White,*Francis,07/12/2018 01:28:00 PM,07/12/2018 01:28:00 PM,04/29/2018,Cat,Intact Female,2 months,Domestic Shorthair Mix,Blue Tabby/White,0.0
A794635,Shangoo,05/10/2019 01:18:00 PM,05/10/2019 01:18:00 PM,4201 S Congress in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Labrador Retriever/Boxer,Black,Shangoo,05/22/2019 01:11:00 PM,05/22/2019 01:11:00 PM,05/10/2017,Dog,Neutered Male,2 years,Labrador Retriever/Boxer,Black,0.0
A773881,Shy Boy,06/07/2018 08:25:00 AM,06/07/2018 08:25:00 AM,Wildrose & Temple in Austin (TX),Stray,Aged,Dog,Neutered Male,24 years,German Shepherd Mix,Red/Cream,Shy Boy,06/07/2018 03:33:00 PM,06/07/2018 03:33:00 PM,06/07/1994,Dog,Neutered Male,24 years,German Shepherd Mix,Red/Cream,0.0
A797942,284 Grams,06/19/2019 02:34:00 PM,06/19/2019 02:34:00 PM,1308 Sir Thopas Trail in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair,Brown Tabby,284 Grams,06/19/2019 06:18:00 PM,06/19/2019 06:18:00 PM,05/29/2019,Cat,Intact Female,3 weeks,Domestic Shorthair,Brown Tabby,0.0
A634578,Dallas,05/22/2016 01:18:00 PM,05/22/2016 01:18:00 PM,810 Bastrop Hwy in Austin (TX),Stray,Normal,Dog,Neutered Male,7 years,Labrador Retriever Mix,Black/White,Dallas,12/15/2016 10:41:00 AM,12/15/2016 10:41:00 AM,08/12/2008,Dog,Neutered Male,8 years,Labrador Retriever Mix,Black/White,0.0
A805907,*Boo,10/03/2019 02:13:00 PM,10/03/2019 02:13:00 PM,Havana Street And Brinwood Avenue in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Medium Hair,Black,*Boo,11/18/2019 05:47:00 PM,11/18/2019 05:47:00 PM,09/11/2019,Cat,Spayed Female,2 months,Domestic Medium Hair,Black,0.0
A757115,,08/30/2017 11:30:00 AM,08/30/2017 11:30:00 AM,12318 Alderbrook Dr in Austin (TX),Wildlife,Injured,Other,Unknown,1 year,Opossum,Gray,,08/30/2017 11:51:00 AM,08/30/2017 11:51:00 AM,08/30/2016,Other,Unknown,1 year,Opossum,Gray,1.0
A747825,,04/25/2017 12:55:00 PM,04/25/2017 12:55:00 PM,1505 Poppyseed Ln in Austin (TX),Stray,Nursing,Cat,Intact Female,5 days,Domestic Shorthair Mix,Tortie,,04/25/2017 03:39:00 PM,04/25/2017 03:39:00 PM,04/20/2017,Cat,Intact Female,5 days,Domestic Shorthair Mix,Tortie,0.0
A733252,Shabby,12/16/2016 08:59:00 AM,12/16/2016 08:59:00 AM,6903 Frontera Tr in Austin (TX),Stray,Normal,Dog,Spayed Female,8 months,Siberian Husky,Black/White,Shabby,12/16/2016 02:43:00 PM,12/16/2016 02:43:00 PM,04/13/2016,Dog,Spayed Female,8 months,Siberian Husky,Black/White,0.0
A726074,Zoey,05/05/2016 05:42:00 PM,05/05/2016 05:42:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,7 years,Rhod Ridgeback Mix,Red/White,Zoey,07/28/2016 12:00:00 AM,07/28/2016 12:00:00 AM,11/05/2008,Dog,Spayed Female,7 years,Rhod Ridgeback Mix,Red/White,0.0
A719638,*Marcia,01/24/2016 02:25:00 PM,01/24/2016 02:25:00 PM,515 N. Pleasant Valley in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Longhair Mix,Brown Tabby,*Marcia,02/03/2016 12:45:00 PM,02/03/2016 12:45:00 PM,11/24/2015,Cat,Intact Female,2 months,Domestic Longhair Mix,Brown Tabby,0.0
A665009,,10/12/2013 01:07:00 PM,10/12/2013 01:07:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,1 month,Chihuahua Shorthair Mix,Red,,10/12/2013 03:04:00 PM,10/12/2013 03:04:00 PM,08/21/2013,Dog,Intact Male,1 month,Chihuahua Shorthair Mix,Red,0.0
A777227,Obadiah,07/25/2018 01:29:00 PM,07/25/2018 01:29:00 PM,Montopolis Drive And Highway 183 in Austin (TX),Stray,Normal,Dog,Intact Male,4 months,Chihuahua Shorthair/Beagle,Tan,Obadiah,07/29/2018 04:21:00 PM,07/29/2018 04:21:00 PM,02/25/2018,Dog,Neutered Male,5 months,Chihuahua Shorthair/Beagle,Tan,0.0
A680253,Ryanne,05/31/2014 01:38:00 PM,05/31/2014 01:38:00 PM,Carillon Way & Ring Dr in Manor (TX),Stray,Normal,Dog,Intact Female,10 months,Golden Retriever Mix,Red,Ryanne,06/04/2014 04:35:00 PM,06/04/2014 04:35:00 PM,07/01/2013,Dog,Intact Female,11 months,Golden Retriever Mix,Red,0.0
A681025,*Simone,06/11/2014 01:55:00 PM,06/11/2014 01:55:00 PM,4610 Norwood Lane in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Chihuahua Shorthair Mix,Red/White,*Simone,06/20/2014 04:16:00 PM,06/20/2014 04:16:00 PM,06/11/2013,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Red/White,0.0
A666659,*April,11/05/2013 12:25:00 PM,11/05/2013 12:25:00 PM,13501 Abrahamson St in Manor (TX),Stray,Normal,Dog,Intact Female,1 month,Labrador Retriever Mix,Black/White,*April,11/10/2013 04:42:00 PM,11/10/2013 04:42:00 PM,09/05/2013,Dog,Intact Female,2 months,Labrador Retriever Mix,Black/White,0.0
A799826,,07/12/2019 12:52:00 PM,07/12/2019 12:52:00 PM,Drew Lane And Margra Lane in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Labrador Retriever,Sable,,07/23/2019 02:21:00 PM,07/23/2019 02:21:00 PM,05/20/2019,Dog,Intact Female,2 months,Labrador Retriever,Sable,0.0
A772560,Sophie,05/21/2018 11:03:00 AM,05/21/2018 11:03:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,6 years,Balinese,Blue,Sophie,05/29/2018 06:15:00 PM,05/29/2018 06:15:00 PM,05/21/2012,Cat,Spayed Female,6 years,Balinese,Blue,0.0
A735895,*Puppers,10/01/2016 11:06:00 AM,10/01/2016 11:06:00 AM,Onion Creek And I35 in Austin (TX),Stray,Normal,Dog,Intact Male,3 months,German Shepherd Mix,Tan,*Puppers,10/07/2016 12:33:00 PM,10/07/2016 12:33:00 PM,07/01/2016,Dog,Neutered Male,3 months,German Shepherd Mix,Tan,0.0
A779158,,08/26/2018 02:52:00 PM,08/26/2018 02:52:00 PM,8512 Romney Rd in Austin (TX),Wildlife,Sick,Other,Unknown,4 weeks,Raccoon,Brown/Black,,08/26/2018 07:12:00 PM,08/26/2018 07:12:00 PM,07/26/2018,Other,Unknown,4 weeks,Raccoon,Brown/Black,1.0
A676808,*Snickers,04/15/2014 01:39:00 PM,04/15/2014 01:39:00 PM,Georgian And Hwy 183 in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Chocolate/Tan,*Snickers,04/26/2014 01:09:00 PM,04/26/2014 01:09:00 PM,04/15/2013,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Chocolate/Tan,0.0
A721935,*Hilux,03/07/2016 04:30:00 PM,03/07/2016 04:30:00 PM,4700 E Riverside Dr in Austin (TX),Stray,Normal,Dog,Intact Male,5 years,Dachshund Mix,Brown/White,*Hilux,03/11/2016 05:10:00 PM,03/11/2016 05:10:00 PM,03/07/2011,Dog,Neutered Male,5 years,Dachshund Mix,Brown/White,0.0
A711416,,09/06/2015 02:41:00 PM,09/06/2015 02:41:00 PM,10229 Misselthrush in Austin (TX),Stray,Normal,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby/White,,09/06/2015 04:34:00 PM,09/06/2015 04:34:00 PM,08/22/2015,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby/White,0.0
A739520,*Iota,12/03/2016 06:53:00 PM,12/03/2016 06:53:00 PM,1515 Wickersham Ln in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby,*Iota,02/11/2017 05:44:00 PM,02/11/2017 05:44:00 PM,11/06/2016,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby,0.0
A690782,Huey,03/15/2015 11:10:00 AM,03/15/2015 11:10:00 AM,2209 Kinney in Austin (TX),Public Assist,Normal,Dog,Intact Male,7 years,German Shepherd/Rottweiler,Tan,Huey,03/24/2015 06:24:00 PM,03/24/2015 06:24:00 PM,10/26/2007,Dog,Intact Male,7 years,German Shepherd/Rottweiler,Tan,0.0
A677698,,04/28/2014 10:07:00 AM,04/28/2014 10:07:00 AM,4106 N Lamar in Austin (TX),Stray,Nursing,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Black Tabby,,04/28/2014 10:36:00 AM,04/28/2014 10:36:00 AM,04/18/2014,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Black Tabby,0.0
A697168,,02/19/2015 08:54:00 AM,02/19/2015 08:54:00 AM,4523 Tannehill in Austin (TX),Stray,Injured,Dog,Neutered Male,5 years,Pit Bull Mix,Black/White,,02/28/2015 02:56:00 PM,02/28/2015 02:56:00 PM,02/19/2010,Dog,Neutered Male,5 years,Pit Bull Mix,Black/White,0.0
A680875,Sandy,06/09/2014 12:58:00 PM,06/09/2014 12:58:00 PM,5Th St & I35 in Austin (TX),Stray,Normal,Dog,Intact Female,13 years,Chihuahua Shorthair Mix,Tan,Sandy,06/09/2014 07:33:00 PM,06/09/2014 07:33:00 PM,06/09/2001,Dog,Intact Female,13 years,Chihuahua Shorthair Mix,Tan,0.0
A734485,*Babs,09/07/2016 01:07:00 PM,09/07/2016 01:07:00 PM,Blue Bluff Rd And Decker Lane Rd in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Labrador Retriever/Whippet,Black/White,*Babs,09/13/2016 12:00:00 AM,09/13/2016 12:00:00 AM,09/07/2015,Dog,Spayed Female,1 year,Labrador Retriever/Whippet,Black/White,0.0
A808752,270 Grams,11/13/2019 01:18:00 PM,11/13/2019 01:18:00 PM,4102 Reynosa Drive in Austin (TX),Stray,Nursing,Cat,Intact Female,3 weeks,Domestic Shorthair,Black,270 Grams,11/13/2019 01:49:00 PM,11/13/2019 01:49:00 PM,10/22/2019,Cat,Intact Female,3 weeks,Domestic Shorthair,Black,0.0
A792547,,04/12/2019 11:13:00 AM,04/12/2019 11:13:00 AM,1406 Caladendra Drive in Austin (TX),Stray,Normal,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Tortie,,04/12/2019 04:17:00 PM,04/12/2019 04:17:00 PM,03/28/2019,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Tortie,0.0
A761967,*Paddington,11/12/2017 03:55:00 PM,11/12/2017 03:55:00 PM,Chinook Drive And Pinto Path in Austin (TX),Stray,Normal,Dog,Neutered Male,4 years,Labrador Retriever Mix,Black/White,*Paddington,03/10/2018 10:58:00 AM,03/10/2018 10:58:00 AM,11/12/2013,Dog,Neutered Male,4 years,Labrador Retriever Mix,Black/White,0.0
A716372,Mio,11/18/2015 05:11:00 PM,11/18/2015 05:11:00 PM,12304 Elm Valley Dr in Travis (TX),Stray,Normal,Dog,Intact Male,1 month,Boxer Mix,Red/White,Mio,03/11/2016 12:09:00 PM,03/11/2016 12:09:00 PM,10/01/2015,Dog,Neutered Male,5 months,Boxer Mix,Red/White,0.0
A772753,Brindle,05/23/2018 11:35:00 AM,05/23/2018 11:35:00 AM,West Slaughter Lane And Manchaca Road in Austin (TX),Stray,Normal,Dog,Intact Female,3 months,Labrador Retriever Mix,Black/Brown Brindle,Brindle,05/23/2018 04:35:00 PM,05/23/2018 04:35:00 PM,01/23/2018,Dog,Intact Female,3 months,Labrador Retriever Mix,Black/Brown Brindle,0.0
A764722,,01/05/2018 07:06:00 AM,01/05/2018 07:06:00 AM,101 S Mockingbird Circle in Travis (TX),Stray,Normal,Dog,Intact Male,1 month,Labrador Retriever Mix,Black,,01/08/2018 04:48:00 PM,01/08/2018 04:48:00 PM,11/05/2017,Dog,Intact Male,2 months,Labrador Retriever Mix,Black,1.0
A753344,Gordo,07/05/2017 11:05:00 AM,07/05/2017 11:05:00 AM,Austin (TX),Owner Surrender,Sick,Cat,Neutered Male,14 years,Himalayan,Lynx Point,Gordo,07/05/2017 03:19:00 PM,07/05/2017 03:19:00 PM,07/05/2003,Cat,Neutered Male,14 years,Himalayan,Lynx Point,0.0
A782090,,10/10/2018 02:34:00 PM,10/10/2018 02:34:00 PM,101 Colorado St in Austin (TX),Wildlife,Sick,Other,Unknown,1 year,Bat Mix,Black,,10/10/2018 04:42:00 PM,10/10/2018 04:42:00 PM,10/10/2017,Other,Unknown,1 year,Bat Mix,Black,1.0
A706351,*Jax,06/27/2015 04:32:00 PM,06/27/2015 04:32:00 PM,Fallwell Ln And Tx-71 in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Cairn Terrier Mix,Brown/Black,*Jax,07/02/2015 12:38:00 PM,07/02/2015 12:38:00 PM,06/27/2013,Dog,Neutered Male,2 years,Cairn Terrier Mix,Brown/Black,0.0
A711541,Kyba,09/08/2015 02:49:00 PM,09/08/2015 02:49:00 PM,Parmer Ln And Loop 1 in Austin (TX),Stray,Normal,Dog,Neutered Male,10 years,Labrador Retriever Mix,Yellow/White,Kyba,09/08/2015 06:15:00 PM,09/08/2015 06:15:00 PM,09/08/2005,Dog,Neutered Male,10 years,Labrador Retriever Mix,Yellow/White,0.0
A761452,,11/05/2017 09:29:00 AM,11/05/2017 09:29:00 AM,2901 South Capital Of Texas Highway in Austin (TX),Public Assist,Normal,Dog,Intact Male,4 weeks,Border Collie Mix,Black/White,,11/08/2017 07:48:00 AM,11/08/2017 07:48:00 AM,10/05/2017,Dog,Intact Male,4 weeks,Border Collie Mix,Black/White,0.0
A741794,,01/09/2017 07:11:00 AM,01/09/2017 07:11:00 AM,Dove Springs & Stassney Dr in Austin (TX),Stray,Injured,Dog,Intact Male,2 years,Pit Bull,Brown/White,,01/09/2017 09:46:00 AM,01/09/2017 09:46:00 AM,01/09/2015,Dog,Intact Male,2 years,Pit Bull,Brown/White,1.0
A679147,Messi,05/19/2014 03:54:00 PM,05/19/2014 03:54:00 PM,Austin (TX),Public Assist,Normal,Dog,Intact Male,2 years,Miniature Poodle/Miniature Schnauzer,Black/White,Messi,05/27/2014 05:51:00 PM,05/27/2014 05:51:00 PM,05/17/2012,Dog,Intact Male,2 years,Miniature Poodle/Miniature Schnauzer,Black/White,0.0
A736992,,10/20/2016 03:07:00 PM,10/20/2016 03:07:00 PM,1000 E 41St St in Austin (TX),Stray,Normal,Bird,Unknown,1 year,Cockatiel Mix,Gray/Yellow,,10/24/2016 01:11:00 PM,10/24/2016 01:11:00 PM,10/20/2015,Bird,Unknown,1 year,Cockatiel Mix,Gray/Yellow,0.0
A802877,Effie,08/24/2019 11:45:00 AM,08/24/2019 11:45:00 AM,16800 Fagerquist in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Miniature Poodle/Lhasa Apso,Buff,Effie,08/29/2019 12:38:00 PM,08/29/2019 12:38:00 PM,02/24/2018,Dog,Intact Female,1 year,Miniature Poodle/Lhasa Apso,Buff,0.0
A784159,Lucky,11/12/2018 03:38:00 PM,11/12/2018 03:38:00 PM,Ocallahan Drive And Frate Barker Road in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Labrador Retriever Mix,Black,Lucky,02/07/2019 05:34:00 PM,02/07/2019 05:34:00 PM,11/12/2017,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black,0.0
A723759,Raphael,04/06/2016 11:31:00 AM,04/06/2016 11:31:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 month,Domestic Shorthair,Blue,Raphael,04/07/2016 12:00:00 AM,04/07/2016 12:00:00 AM,02/06/2016,Cat,Intact Male,1 month,Domestic Shorthair,Blue,0.0
A783896,Mochi,11/08/2018 12:11:00 PM,11/08/2018 12:11:00 PM,7211 Providence Avenue in Austin (TX),Stray,Normal,Cat,Intact Female,1 month,Domestic Medium Hair Mix,Torbie,Mochi,11/23/2018 01:28:00 PM,11/23/2018 01:28:00 PM,09/23/2018,Cat,Intact Female,1 month,Domestic Medium Hair Mix,Torbie,0.0
A769603,,04/07/2018 12:00:00 PM,04/07/2018 12:00:00 PM,9704 Chukar Circle in Austin (TX),Stray,Normal,Cat,Intact Male,1 year,Domestic Shorthair Mix,Blue Tabby,,04/10/2018 06:30:00 PM,04/10/2018 06:30:00 PM,04/07/2017,Cat,Intact Male,1 year,Domestic Shorthair Mix,Blue Tabby,0.0
A674107,*Fiona,03/07/2014 01:15:00 PM,03/07/2014 01:15:00 PM,7925 Hayride in Travis (TX),Stray,Aged,Dog,Spayed Female,10 years,Labrador Retriever Mix,Red/Black,*Fiona,03/14/2014 12:43:00 PM,03/14/2014 12:43:00 PM,03/07/2004,Dog,Spayed Female,10 years,Labrador Retriever Mix,Red/Black,0.0
A718873,Talloulah,05/23/2016 01:25:00 PM,05/23/2016 01:25:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,1 year,Boxer Mix,Brown/White,Talloulah,05/31/2016 07:27:00 PM,05/31/2016 07:27:00 PM,01/08/2015,Dog,Spayed Female,1 year,Boxer Mix,Brown/White,0.0
A790789,Lulu,03/16/2019 02:54:00 PM,03/16/2019 02:54:00 PM,4525 E Hwy 71 in Austin (TX),Owner Surrender,Normal,Dog,Intact Male,1 year,German Shepherd Mix,White,Lulu,03/20/2019 12:18:00 PM,03/20/2019 12:18:00 PM,11/17/2017,Dog,Intact Male,1 year,German Shepherd Mix,White,0.0
A806632,,10/13/2019 03:33:00 PM,10/13/2019 03:33:00 PM,21310 Lindeman Lane in Travis (TX),Stray,Injured,Dog,Intact Male,1 year,Alaskan Husky,Black/Gray,,10/19/2019 04:45:00 PM,10/19/2019 04:45:00 PM,10/13/2018,Dog,Neutered Male,1 year,Alaskan Husky,Black/Gray,0.0
A712057,Jackson,09/16/2015 12:16:00 PM,09/16/2015 12:16:00 PM,Imperial Eagle Ln in Travis (TX),Owner Surrender,Normal,Dog,Neutered Male,7 years,Pomeranian Mix,Buff,Jackson,09/17/2015 12:22:00 PM,09/17/2015 12:22:00 PM,09/16/2008,Dog,Neutered Male,7 years,Pomeranian Mix,Buff,0.0
A762652,,11/22/2017 12:55:00 PM,11/22/2017 12:55:00 PM,Fm 969 And Johnny Morrison Road in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Pit Bull Mix,Blue/White,,11/27/2017 06:56:00 PM,11/27/2017 06:56:00 PM,09/15/2017,Dog,Spayed Female,2 months,Pit Bull Mix,Blue/White,0.0
A712713,Jake,09/27/2015 11:00:00 AM,09/27/2015 11:00:00 AM,6403 Tiner Trl in Austin (TX),Stray,Normal,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Orange Tabby,Jake,11/29/2015 05:24:00 PM,11/29/2015 05:24:00 PM,09/19/2015,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby,0.0
A773406,,05/31/2018 04:13:00 PM,05/31/2018 04:13:00 PM,5918 Salcon Cliff Drive in Austin (TX),Stray,Normal,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby/White,,05/31/2018 06:13:00 PM,05/31/2018 06:13:00 PM,05/10/2018,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby/White,0.0
